feature,importance
host_len,0.57962555
num_underscores,0.26905996
num_dots,0.044090807
has_login_kw,0.011095838
num_suspicious_keywords,0.008316524
num_links,0.006990336
num_hyphens,0.0061868886
has_pay_kw,0.0061712605
digit_letter_ratio,0.0055265334
num_digits,0.0045797336
num_iframes,0.0039418
num_scripts,0.003886695
form_action_external,0.0037506344
html_len,0.0037000168
external_script_loads,0.0034674688
subdomain_count,0.0033063546
num_images,0.0032456652
entropy_host,0.0030431699
num_obfuscated_js,0.0030358788
url_len,0.0029877594
num_external_links,0.002940046
has_onmouseover_hooks,0.0028862108
html_entropy,0.0028661157
spoofed_brand_terms,0.0025333003
has_hidden_input,0.0025223983
num_inputs,0.0024020602
entropy_url,0.0022373758
has_onclick_hooks,0.0019085298
num_forms,0.0018631928
has_password_field,0.0018318692
has_misspelled_brand,0.0
num_params,0.0
num_ampersands,0.0
path_len,0.0
query_len,0.0
num_slashes,0.0
num_at_signs,0.0
num_question_marks,0.0
num_equals,0.0
has_ip_host,0.0
path_depth,0.0
entropy_path,0.0
has_suspicious_tld,0.0
protocol_https,0.0
has_punycode,0.0
keyword_pressure,0.0
rare_tld,0.0
fake_security_indicators,0.0
